best_fitness,std_dev_best_fitness,average_fitness,std_dev_avg_fitness,evaluations,generations,population_size,mutation_rate,crossover_rate
0.5,0.03491767244204221,0.48531255010822516,0.053121816728547,499900,4999,100,0.01,0.6
0.5,0.010779606052541822,0.49420263539597653,0.03672725159099331,499900,4999,100,0.01,0.6
0.5,0.004712630499168037,0.49305490802530805,0.03888474136858423,499900,4999,100,0.01,0.6
0.5,0.01814935847835864,0.49111816163281163,0.04422202904855168,499900,4999,100,0.01,0.6
0.5,0.0,0.4950474238095238,0.03465863724072098,499900,4999,100,0.01,0.6
0.5,0.0,0.4949621248140748,0.0351288166395564,499900,4999,100,0.01,0.6
1.0,0.07065485234396476,0.42068200902773395,0.10731443812952308,53700,537,100,0.01,0.6
1.0,0.0,0.16100901875901877,0.0,0,0,100,0.01,0.6
1.0,0.014973818705886996,0.47892324759562954,0.07010069607274513,111400,1114,100,0.01,0.6
1.0,0.031686800076691106,0.4851031048598267,0.05601180799498895,290000,2900,100,0.01,0.6
0.5,0.0,0.4932730818126318,0.04036958137673567,499900,4999,100,0.01,0.6
0.5,0.012872443692943165,0.49112809740259744,0.04270928444679109,499900,4999,100,0.01,0.6
1.0,0.009550441677038427,0.4935396586228026,0.03813350370164962,395900,3959,100,0.01,0.6
0.5,0.01996462831969219,0.49024474856532363,0.04565718676918297,499900,4999,100,0.01,0.6
1.0,0.1386750490563073,0.16840806415806414,0.00838017227536394,1200,12,100,0.01,0.6
0.5,0.0,0.48665720894281156,0.05376029519329787,499900,4999,100,0.01,0.6
1.0,0.10342937540967605,0.24641370773101537,0.05099177085982667,7700,77,100,0.01,0.6
0.5,0.0,0.49624477082166196,0.029445450421062235,499900,4999,100,0.01,0.6
1.0,0.09724577339224537,0.22574738993400967,0.03647266555775609,7000,70,100,0.01,0.6
0.5,0.0,0.49497876825396836,0.03375214297113852,499900,4999,100,0.01,0.6
0.5,0.0,0.49474430648795653,0.03547349919090346,499900,4999,100,0.01,0.6
1.0,0.04162515938553137,0.48124182710168023,0.06264237586200269,245000,2450,100,0.01,0.6
0.5,0.01265735787628478,0.4941880174603175,0.03742687519131326,499900,4999,100,0.01,0.6
0.5,0.029068942965534045,0.4872108314435564,0.04951062766871177,499900,4999,100,0.01,0.6
0.5,0.019445281101716127,0.4911070539432791,0.04389748099911692,499900,4999,100,0.01,0.6
1.0,0.053184897743235954,0.4399094851717803,0.10432348112804751,54800,548,100,0.01,0.6
0.5,0.01690980877393351,0.49415802283353893,0.03697433367790197,499900,4999,100,0.01,0.6
1.0,0.012264631233838454,0.48570302319266784,0.05789068766437586,166100,1661,100,0.01,0.6
0.5,0.0,0.4950195885725386,0.03154002154509128,499900,4999,100,0.01,0.6
0.5,0.01690980877393351,0.49055494202922684,0.04387908124145002,499900,4999,100,0.01,0.6
1.0,0.08758415276921061,0.24879172123862758,0.04051241596708118,29800,298,100,0.5,0.7
1.0,0.041508886394648385,0.317286518063576,0.05789212650906225,65500,655,100,0.5,0.7
1.0,0.06301994234807987,0.26716721150194833,0.038781994547923956,42400,424,100,0.5,0.7
1.0,0.06913011298202835,0.20568184557849248,0.019094620219202975,9200,92,100,0.5,0.7
1.0,0.05248493255862221,0.33676905886681263,0.0758990558452283,60000,600,100,0.5,0.7
1.0,0.08249793884559162,0.2819781716353928,0.04022111101711682,54600,546,100,0.5,0.7
1.0,0.07278099310687795,0.2826282494723429,0.05913019228299469,54500,545,100,0.5,0.7
1.0,0.09890504262486348,0.19672825623988416,0.017181300394908557,4200,42,100,0.5,0.7
0.5,0.02052496662240819,0.47552325841935844,0.06045805454815983,499900,4999,100,0.5,0.7
1.0,0.0316139993411902,0.30406458062649183,0.057975761581881446,74200,742,100,0.5,0.7
0.5,0.030463786289981934,0.45910606817626815,0.0743449043750182,499900,4999,100,0.5,0.7
1.0,0.07328868488907271,0.2259538696536516,0.039190046235809455,16800,168,100,0.5,0.7
1.0,0.07081278032731227,0.29778403406274695,0.06911301522167301,50400,504,100,0.5,0.7
1.0,0.057838483885844984,0.2854079920547617,0.05593239237830081,35500,355,100,0.5,0.7
1.0,0.09421164799195501,0.23312894873488094,0.041574172636321884,17600,176,100,0.5,0.7
1.0,0.06050452007497952,0.28397441638272586,0.04660093002633771,34800,348,100,0.5,0.7
1.0,0.026713557515718012,0.3714143273065337,0.09377946357441916,89000,890,100,0.5,0.7
1.0,0.08116912795581942,0.22693001239246546,0.03740519396630767,14000,140,100,0.5,0.7
1.0,0.02680281337094487,0.2803018868503782,0.047816523199131475,34700,347,100,0.5,0.7
1.0,0.12864314649364322,0.17412570870969307,0.012996350344052226,3100,31,100,0.5,0.7
1.0,0.07077321837307224,0.2829455491598349,0.0644717034834569,29300,293,100,0.5,0.7
1.0,0.06410795521889498,0.3383118651030381,0.06889085155202408,84300,843,100,0.5,0.7
1.0,0.053431372808105435,0.2848215372219383,0.05410786084582314,26300,263,100,0.5,0.7
1.0,0.08259717994608123,0.2865519369377788,0.05606190632138441,39100,391,100,0.5,0.7
1.0,0.05423261445466404,0.21464607668379296,0.029201575342094877,8400,84,100,0.5,0.7
